0,50,100,100,50,100,150,150,100,150,200,200,150,200,165,115,165,215,215,165,215,265,265,215,265,315,315,265,315,365
50,0,50,150,100,50,100,200,150,100,150,250,200,150,215,165,115,165,265,215,165,215,315,265,215,265,365,315,265,315
100,50,0,200,150,100,50,250,200,150,100,300,250,200,265,215,165,115,315,265,215,165,365,315,265,215,415,365,315,265
100,150,200,0,50,100,150,50,100,150,200,100,150,200,165,215,265,315,115,165,215,265,165,215,265,315,215,265,315,365
50,100,150,50,0,50,100,100,50,100,150,150,100,150,215,165,215,265,165,115,165,215,215,165,215,265,265,215,265,315
100,50,100,100,50,0,50,150,100,50,100,200,150,100,265,215,165,215,215,165,115,165,265,215,165,215,315,265,215,265
150,100,50,150,100,50,0,200,150,100,50,250,200,150,315,265,215,165,265,215,165,115,315,265,215,165,365,315,265,215
150,200,250,50,100,150,200,0,50,100,150,50,100,150,215,265,315,365,165,215,265,315,115,165,215,265,165,215,265,315
100,150,200,100,50,100,150,50,0,50,100,100,50,100,265,215,265,315,215,165,215,265,165,115,165,215,215,165,215,265
150,100,150,150,100,50,100,100,50,0,50,150,100,50,315,265,215,265,265,215,165,215,215,165,115,165,265,215,165,215
200,150,100,200,150,100,50,150,100,50,0,200,150,100,365,315,265,215,315,265,215,165,265,215,165,115,315,265,215,165
200,250,300,100,150,200,250,50,100,150,200,0,50,100,265,315,365,415,215,265,315,365,165,215,265,315,115,165,215,265
150,200,250,150,100,150,200,100,50,100,150,50,0,50,315,265,315,365,265,215,265,315,215,165,215,265,165,115,165,215
200,150,200,200,150,100,150,150,100,50,100,100,50,0,365,315,265,315,315,265,215,265,265,215,165,215,215,165,115,165
165,215,265,165,215,265,315,215,265,315,365,265,315,365,0,50,100,150,50,100,150,200,100,150,200,250,150,200,250,300
115,165,215,215,165,215,265,265,215,265,315,315,265,315,50,0,50,100,100,50,100,150,150,100,150,200,200,150,200,250
165,115,165,265,215,165,215,315,265,215,265,365,315,265,100,50,0,50,150,100,50,100,200,150,100,150,250,200,150,200
215,165,115,315,265,215,165,365,315,265,215,415,365,315,150,100,50,0,200,150,100,50,250,200,150,100,300,250,200,150
215,265,315,115,165,215,265,165,215,265,315,215,265,315,50,100,150,200,0,50,100,150,50,100,150,200,100,150,200,250
165,215,265,165,115,165,215,215,165,215,265,265,215,265,100,50,100,150,50,0,50,100,100,50,100,150,150,100,150,200
215,165,215,215,165,115,165,265,215,165,215,315,265,215,150,100,50,100,100,50,0,50,150,100,50,100,200,150,100,150
265,215,165,265,215,165,115,315,265,215,165,365,315,265,200,150,100,50,150,100,50,0,200,150,100,50,250,200,150,100
265,315,365,165,215,265,315,115,165,215,265,165,215,265,100,150,200,250,50,100,150,200,0,50,100,150,50,100,150,200
215,265,315,215,165,215,265,165,115,165,215,215,165,215,150,100,150,200,100,50,100,150,50,0,50,100,100,50,100,150
265,215,265,265,215,165,215,215,165,115,165,265,215,165,200,150,100,150,150,100,50,100,100,50,0,50,150,100,50,100
315,265,215,315,265,215,165,265,215,165,115,315,265,215,250,200,150,100,200,150,100,50,150,100,50,0,200,150,100,50
315,365,415,215,265,315,365,165,215,265,315,115,165,215,150,200,250,300,100,150,200,250,50,100,150,200,0,50,100,150
265,315,365,265,215,265,315,215,165,215,265,165,115,165,200,150,200,250,150,100,150,200,100,50,100,150,50,0,50,100
315,265,315,315,265,215,265,265,215,165,215,215,165,115,250,200,150,200,200,150,100,150,150,100,50,100,100,50,0,50
365,315,265,365,315,265,215,315,265,215,165,265,215,165,300,250,200,150,250,200,150,100,200,150,100,50,150,100,50,0
